customer_id,age,gender,region,signup_days_ago,lifetime_value,loyalty_tier
C00165,49,Male,Southeast,1478,460.22,Silver
C00166,42,Male,Southwest,1746,816.21,Gold
C00167,47,Male,West,865,109.21,Bronze
C00168,60,Male,Southeast,871,158.06,Bronze
C00169,35,Male,Midwest,896,1169.25,Gold
C00170,28,Female,West,1426,101.74,Bronze
C00171,27,Female,Southwest,1702,73.18,Bronze
C00172,28,Female,Northeast,1232,967.95,Gold
C00173,37,Female,Southeast,1485,718.44,Silver
C00174,42,Female,Southeast,1773,361.01,Silver
C00175,41,Male,Northeast,974,234.83,Bronze
C00176,47,Female,Midwest,431,164.9,Bronze
C00177,38,Female,Southwest,1447,315.37,Silver
C00178,55,Female,Southeast,912,1014.17,Gold
C00179,34,Female,West,595,303.3,Silver
C00180,70,Male,West,1132,1720.32,Gold
C00181,45,Female,Southeast,453,109.05,Bronze
C00182,27,Female,Northeast,147,240.4,Bronze
C00183,25,Other,West,397,174.91,Bronze
C00184,43,Male,Southwest,1159,92.15,Bronze
C00185,35,Male,West,1158,213.2,Bronze
C00186,46,Male,Northeast,1356,356.24,Silver
C00187,43,Female,Northeast,659,392.21,Silver
C00188,37,Male,Northeast,1794,1725.73,Gold
C00189,27,Male,Midwest,177,371.68,Silver
C00190,19,Other,West,179,688.92,Silver
C00191,32,Male,Northeast,845,259.69,Bronze
C00192,48,Female,West,285,1107.93,Gold
C00193,40,Male,Midwest,111,2118.8,Gold
C00194,23,Female,West,45,394.64,Silver
C00195,40,Female,Southwest,930,100.14,Bronze
C00196,42,Female,Northeast,222,149.32,Bronze
C00197,27,Female,Southwest,752,315.37,Silver
C00198,39,Male,Northeast,1127,369.02,Silver
C00199,38,Male,Southeast,1330,458.79,Silver
C00200,24,Male,Southwest,1114,370.25,Silver
C00201,42,Female,Southwest,1002,246.24,Bronze
C00202,44,Female,Midwest,980,138.02,Bronze
C00203,50,Male,Midwest,565,351.08,Silver
C00204,50,Female,West,1588,1299.18,Gold
C00205,21,Male,West,372,612.74,Silver
C00206,26,Female,Northeast,424,395.93,Silver
C00207,44,Female,West,972,618.08,Silver
C00208,44,Male,Midwest,287,175.22,Bronze
C00209,44,Female,Midwest,1251,154.87,Bronze
C00210,80,Male,Midwest,82,124.84,Bronze
C00211,44,Female,Midwest,680,218.6,Bronze
C00212,51,Female,Southwest,300,167.37,Bronze
C00213,49,Male,Midwest,230,725.93,Silver
C00214,45,Male,Southwest,425,159.53,Bronze
C00215,34,Male,Northeast,407,118.81,Bronze
C00216,47,Female,West,705,1405.74,Gold
C00217,28,Female,West,1657,163.0,Bronze
C00218,35,Male,West,564,280.95,Bronze
C00219,32,Female,West,952,367.3,Silver
C00220,38,Female,Midwest,1141,87.97,Bronze
C00221,65,Male,Southwest,427,743.92,Silver
C00222,18,Male,West,1235,434.16,Silver
C00223,46,Female,Northeast,896,994.8,Gold
C00224,18,Female,West,1336,132.78,Bronze
C00225,32,Male,Southeast,1586,267.53,Bronze
C00226,51,Male,Southeast,590,253.51,Bronze
C00227,38,Male,Southwest,219,310.29,Silver
C00228,25,Female,Midwest,234,66.08,Bronze
C00229,29,Male,West,997,270.36,Bronze
C00230,46,Male,Southeast,73,67.77,Bronze
C00231,29,Female,Northeast,1033,337.82,Silver
C00232,40,Female,Midwest,1353,36.03,Bronze
C00233,38,Male,Northeast,1048,46.23,Bronze
C00234,30,Male,West,669,511.17,Silver
C00235,63,Female,Southeast,1023,149.58,Bronze
C00236,45,Male,Midwest,730,100.58,Bronze
C00237,18,Male,Northeast,1735,767.98,Silver
C00238,40,Female,Southeast,1332,328.61,Silver
C00239,30,Male,West,742,536.4,Silver
C00240,48,Female,Northeast,1438,210.69,Bronze
C00241,28,Female,West,666,2728.93,Gold
C00242,36,Male,Southwest,833,142.02,Bronze
C00243,44,Male,West,340,1176.2,Gold
C00244,48,Female,West,907,231.54,Bronze
C00245,23,Female,Northeast,1581,55.2,Bronze
C00246,33,Female,Southeast,886,377.88,Silver
C00247,32,Female,Southwest,303,324.82,Silver
C00248,30,Male,West,1535,94.99,Bronze
C00249,59,Female,West,1504,106.7,Bronze
C00250,42,Male,West,1585,239.31,Bronze
C00251,22,Male,Southeast,560,335.22,Silver
C00252,49,Male,Northeast,1578,26.48,Bronze
C00253,63,Male,West,46,631.32,Silver
C00254,50,Female,West,747,156.8,Bronze
C00255,19,Male,Midwest,1083,73.81,Bronze
C00256,32,Male,Southwest,499,570.75,Silver
C00257,53,Male,Southeast,840,239.55,Bronze
C00258,29,Female,Southeast,1357,731.1,Silver
C00259,43,Female,Southwest,584,362.91,Silver
C00260,47,Male,West,122,244.36,Bronze
C00261,26,Male,Midwest,911,213.27,Bronze
C00262,37,Male,Northeast,607,377.83,Silver
C00263,18,Female,Northeast,660,168.65,Bronze
C00264,25,Female,West,850,113.6,Bronze
C00265,34,Female,Southeast,613,423.65,Silver
C00266,23,Female,West,875,214.85,Bronze
C00267,57,Male,Southwest,1215,252.2,Bronze
C00268,20,Female,West,871,652.26,Silver
C00269,32,Female,Southeast,357,220.86,Bronze
C00270,39,Male,West,759,248.03,Bronze
C00271,55,Male,Southeast,283,142.64,Bronze
C00272,20,Female,Northeast,1493,360.56,Silver
C00273,51,Female,Northeast,600,335.24,Silver
C00274,38,Male,Southeast,573,550.43,Silver
C00275,26,Female,Southwest,880,145.3,Bronze
C00276,43,Female,Southeast,149,162.06,Bronze
C00277,40,Male,Northeast,1004,499.16,Silver
C00278,30,Male,Southwest,851,307.04,Silver
C00279,38,Male,Northeast,543,108.25,Bronze
C00280,33,Female,West,1683,793.06,Silver
C00281,39,Male,Southeast,1602,53.06,Bronze
C00282,45,Male,Northeast,1008,495.64,Silver
C00283,57,Female,Southwest,126,78.36,Bronze
C00284,23,Female,Northeast,900,1335.7,Gold
C00285,63,Male,Midwest,1423,60.94,Bronze
C00286,18,Male,Southeast,1470,690.23,Silver
C00287,36,Female,Northeast,286,227.36,Bronze
C00288,45,Female,Northeast,157,175.92,Bronze
C00289,41,Female,Northeast,1412,289.12,Bronze
C00290,30,Male,Northeast,1209,432.12,Silver
C00291,35,Female,West,1710,108.42,Bronze
C00292,32,Female,Midwest,86,117.42,Bronze
C00293,30,Female,Southeast,611,439.06,Silver
C00294,48,Female,Southeast,585,52.64,Bronze
C00295,42,Male,Southwest,753,144.63,Bronze
C00296,29,Male,Southwest,1740,3776.75,Gold
C00297,48,Female,West,682,102.39,Bronze
C00298,41,Female,Southwest,1129,687.47,Silver
C00299,47,Female,Southeast,187,144.41,Bronze
C00300,45,Male,Southeast,114,386.89,Silver
C00301,28,Female,West,351,440.94,Silver
C00302,31,Female,West,338,675.91,Silver
C00303,46,Male,Midwest,1583,204.34,Bronze
C00304,45,Male,Southeast,313,1465.57,Gold
C00305,37,Female,Southwest,1095,143.97,Bronze
C00306,39,Female,West,1032,302.11,Silver
C00307,53,Female,Midwest,163,305.13,Silver
C00308,30,Female,West,643,89.14,Bronze
C00309,44,Male,Southeast,678,189.18,Bronze
C00310,35,Male,Northeast,1457,282.98,Bronze
C00311,35,Female,Southeast,1546,165.85,Bronze
C00312,51,Female,Southeast,1275,2201.36,Gold
C00313,47,Female,Northeast,258,115.04,Bronze
C00314,47,Female,West,1505,707.32,Silver
C00315,53,Male,Southeast,1027,528.91,Silver
C00316,38,Female,Midwest,1359,241.66,Bronze
C00317,46,Male,Northeast,148,112.32,Bronze
C00318,34,Male,Northeast,1664,122.56,Bronze
C00319,41,Male,Southwest,967,153.52,Bronze
C00320,36,Male,West,353,49.05,Bronze
C00321,39,Male,Southwest,950,99.17,Bronze
C00322,45,Male,Southwest,188,64.44,Bronze
C00323,28,Male,Southeast,268,821.63,Gold
C00324,63,Male,Southeast,425,426.93,Silver
C00325,25,Female,Southwest,349,496.4,Silver
C00326,23,Male,Southwest,1242,415.69,Silver
C00327,51,Male,West,338,284.37,Bronze
C00328,47,Female,West,278,911.06,Gold
C00329,45,Female,West,567,141.22,Bronze
C00330,45,Female,Southeast,730,269.35,Bronze
C00331,37,Male,Midwest,1559,479.31,Silver
C00332,27,Female,West,423,74.51,Bronze
C00333,38,Male,West,681,3971.62,Gold
C00334,29,Male,Northeast,1047,251.06,Bronze
C00335,49,Male,Southeast,435,278.05,Bronze
C00336,36,Female,Northeast,1029,758.38,Silver
C00337,28,Male,Southeast,1234,557.5,Silver
C00338,34,Male,Southwest,50,253.22,Bronze
C00339,42,Male,Northeast,1728,275.1,Bronze
C00340,31,Female,Northeast,1636,63.2,Bronze
C00341,28,Female,Southeast,1647,148.29,Bronze
C00342,40,Male,West,184,389.74,Silver
C00343,40,Female,Midwest,896,364.86,Silver
C00344,31,Female,Northeast,588,734.4,Silver
C00345,32,Female,Northeast,223,219.54,Bronze
C00346,40,Male,Southeast,1277,70.21,Bronze
C00347,20,Female,Midwest,428,633.37,Silver
C00348,21,Male,Southeast,1802,891.12,Gold
C00349,29,Female,Southwest,309,549.18,Silver
C00350,35,Male,Midwest,1009,211.18,Bronze
C00351,41,Male,Northeast,1063,626.37,Silver
C00352,55,Male,West,1429,5356.25,Gold
C00353,48,Female,Southeast,501,271.41,Bronze
C00354,36,Male,West,181,75.15,Bronze
C00355,37,Female,Southeast,1669,144.36,Bronze
C00356,25,Male,Midwest,1177,429.63,Silver
C00357,37,Female,West,1750,57.72,Bronze
C00358,34,Female,Southwest,831,284.99,Bronze
C00359,41,Female,Southeast,582,344.57,Silver
C00360,28,Female,Southeast,1477,974.19,Gold
C00361,44,Female,Midwest,1576,795.66,Silver
C00362,56,Male,Southwest,759,532.79,Silver
C00363,36,Female,Southwest,542,34.94,Bronze
C00364,42,Male,Northeast,1042,560.57,Silver
C00365,46,Female,Northeast,200,461.72,Silver
C00366,33,Female,Midwest,879,308.08,Silver
C00367,40,Male,Northeast,823,51.56,Bronze
C00368,38,Male,Southeast,1618,121.62,Bronze
C00369,39,Male,Northeast,154,85.61,Bronze
C00370,28,Female,West,204,39.9,Bronze
C00371,38,Female,Southwest,533,244.05,Bronze
C00372,43,Female,Southwest,1438,119.34,Bronze
C00373,55,Female,Southeast,740,2598.72,Gold
C00374,49,Female,Midwest,1821,210.21,Bronze
C00375,63,Male,Southwest,1737,783.98,Silver
C00376,28,Male,Northeast,1624,59.61,Bronze
C00377,48,Female,West,135,151.85,Bronze
C00378,40,Female,Southeast,1690,266.99,Bronze
C00379,64,Female,Northeast,557,108.06,Bronze
C00380,28,Male,Southeast,67,167.34,Bronze
C00381,27,Male,Northeast,424,201.11,Bronze
C00382,30,Male,West,1808,198.24,Bronze
C00383,18,Male,Southeast,950,1299.33,Gold
C00384,31,Male,Southeast,506,343.92,Silver
C00385,28,Female,Northeast,1520,376.74,Silver
C00386,39,Male,Southwest,751,397.7,Silver
C00387,42,Female,Midwest,1558,424.69,Silver
C00388,60,Male,Midwest,344,227.1,Bronze
C00389,49,Female,Midwest,1338,183.34,Bronze
C00390,31,Male,Southeast,1517,284.33,Bronze
C00391,27,Male,Northeast,1733,693.06,Silver
C00392,43,Male,West,1317,674.26,Silver
C00393,22,Female,Northeast,1663,197.09,Bronze
C00394,59,Female,Northeast,1699,488.36,Silver
C00395,52,Male,West,1482,205.38,Bronze
C00396,32,Male,Northeast,394,252.27,Bronze
C00397,18,Female,Southeast,210,159.78,Bronze
C00398,54,Male,Midwest,763,207.79,Bronze
C00399,36,Male,Midwest,905,818.27,Gold
C00400,52,Female,West,1023,265.92,Bronze
C00401,18,Female,West,690,276.37,Bronze
C00402,30,Male,West,273,66.52,Bronze
C00403,38,Male,West,342,185.25,Bronze
C00404,38,Female,Southeast,105,196.92,Bronze
C00405,32,Male,Southeast,291,116.02,Bronze
C00406,45,Male,Midwest,260,249.51,Bronze
C00407,25,Female,Southeast,732,166.29,Bronze
C00408,36,Female,Southwest,1433,262.96,Bronze
C00409,39,Male,West,675,272.97,Bronze
C00410,44,Other,Northeast,1362,103.53,Bronze
C00411,46,Female,Northeast,1817,170.92,Bronze
C00412,24,Male,Northeast,1441,262.34,Bronze
C00413,19,Other,Southeast,786,710.43,Silver
C00414,53,Male,Northeast,1378,308.29,Silver
C00415,41,Male,Midwest,871,134.86,Bronze
C00416,29,Female,Southwest,908,350.41,Silver
C00417,56,Male,West,1509,1137.73,Gold
C00418,39,Male,Northeast,1565,558.38,Silver
C00419,52,Male,Southeast,1396,400.52,Silver
C00420,38,Male,Midwest,545,470.14,Silver
C00421,62,Female,West,471,894.23,Gold
C00422,59,Female,West,1602,644.24,Silver
C00423,35,Other,Southwest,612,407.52,Silver
C00424,49,Male,Midwest,291,640.2,Silver
C00425,45,Male,West,778,92.44,Bronze
C00426,54,Male,Northeast,848,63.3,Bronze
C00427,26,Male,Midwest,1031,281.85,Bronze
C00428,46,Male,Southeast,1516,260.29,Bronze
C00429,50,Female,Midwest,896,149.98,Bronze
C00430,18,Female,West,1743,514.54,Silver
C00431,23,Other,Southeast,637,45.76,Bronze
C00432,18,Male,Northeast,939,151.22,Bronze
C00433,34,Female,Northeast,1280,158.15,Bronze
C00434,46,Male,Northeast,552,56.11,Bronze
C00435,56,Male,Northeast,1242,939.42,Gold
C00436,38,Female,Northeast,1262,72.0,Bronze
C00437,57,Female,Southeast,1066,144.1,Bronze
C00438,21,Male,Southeast,191,554.01,Silver
C00439,18,Male,Southwest,1625,437.66,Silver
C00440,37,Male,Southeast,1546,90.26,Bronze
C00441,42,Female,Northeast,1488,452.25,Silver
C00442,37,Male,Midwest,34,317.6,Silver
C00443,18,Other,Southwest,231,1997.66,Gold
C00444,36,Male,West,445,351.97,Silver
C00445,22,Male,Southeast,1065,215.48,Bronze
C00446,46,Female,Midwest,977,113.2,Bronze
C00447,42,Female,West,1450,125.23,Bronze
C00448,26,Male,West,1394,116.37,Bronze
C00449,31,Female,West,781,840.49,Gold
C00450,25,Female,Southwest,979,248.68,Bronze
C00451,37,Female,Southwest,402,406.96,Silver
C00452,49,Female,Midwest,1431,956.06,Gold
C00453,26,Female,Midwest,1278,29.29,Bronze
C00454,44,Female,West,1235,773.55,Silver
C00455,31,Female,West,1350,257.2,Bronze
C00456,28,Male,Northeast,1360,361.96,Silver
C00457,36,Male,Southwest,460,116.1,Bronze
C00458,25,Male,Northeast,719,124.01,Bronze
C00459,31,Male,Midwest,147,379.92,Silver
C00460,23,Male,Southwest,1405,2092.55,Gold
C00461,61,Female,Southeast,617,603.64,Silver
C00462,38,Male,Midwest,1099,764.31,Silver
C00463,29,Male,Northeast,256,205.86,Bronze
C00464,40,Female,Southeast,1409,142.57,Bronze
C00465,36,Male,Northeast,1347,121.18,Bronze
C00466,35,Male,Southeast,1293,157.68,Bronze
C00467,45,Male,Southeast,377,38.57,Bronze
C00468,47,Male,Southwest,170,127.43,Bronze
C00469,31,Male,Southwest,233,147.77,Bronze
C00470,31,Female,Northeast,1715,208.97,Bronze
C00471,34,Female,West,1033,275.5,Bronze
C00472,18,Male,Northeast,1695,339.07,Silver
C00473,19,Male,Northeast,890,241.43,Bronze
C00474,54,Male,Northeast,874,145.0,Bronze
C00475,57,Female,Southwest,1024,41.8,Bronze
C00476,35,Male,Southwest,1322,145.8,Bronze
C00477,44,Male,Northeast,342,101.98,Bronze
C00478,41,Female,Northeast,1471,372.21,Silver
C00479,74,Male,Southeast,166,554.66,Silver
C00480,51,Male,Midwest,1681,569.47,Silver
C00481,36,Male,Midwest,380,483.6,Silver
C00482,26,Female,Southeast,1214,216.98,Bronze
C00483,18,Female,West,1720,152.97,Bronze
C00484,40,Female,Southeast,202,124.91,Bronze
C00485,28,Female,Southwest,1183,63.01,Bronze
C00486,20,Female,West,108,597.45,Silver
C00487,30,Other,Midwest,1008,209.09,Bronze
C00488,25,Female,West,598,79.7,Bronze
C00489,58,Male,West,892,116.3,Bronze
C00490,48,Female,Southeast,86,112.14,Bronze
C00491,37,Male,Southeast,1453,254.35,Bronze
C00492,55,Male,Southwest,392,639.52,Silver
C00493,38,Female,Northeast,1388,178.9,Bronze
C00494,27,Male,Northeast,163,32.22,Bronze
C00495,56,Female,Midwest,43,206.38,Bronze
C00496,44,Male,West,312,212.6,Bronze
C00497,25,Female,West,835,199.85,Bronze
C00498,35,Female,Southwest,1712,139.11,Bronze
C00499,27,Female,Midwest,1474,297.58,Bronze
C00500,21,Male,Northeast,156,259.7,Bronze
C00501,49,Male,Midwest,247,239.28,Bronze
C00502,60,Female,West,774,354.74,Silver
C00503,21,Male,Northeast,709,166.19,Bronze
C00504,44,Female,Northeast,1708,157.92,Bronze
C00505,30,Female,Northeast,1542,847.35,Gold
C00506,32,Male,Midwest,1026,404.81,Silver
C00507,30,Male,Southwest,289,515.04,Silver
C00508,27,Male,West,1271,737.67,Silver
C00509,38,Female,Southwest,1711,392.82,Silver
C00510,28,Male,Northeast,1542,564.28,Silver
C00511,41,Male,Southwest,1496,59.06,Bronze
C00512,37,Male,West,128,294.05,Bronze
C00513,35,Female,Southeast,211,207.59,Bronze
C00514,27,Male,Southwest,198,1107.56,Gold
C00515,31,Male,Southeast,262,563.9,Silver
C00516,47,Female,Southwest,985,138.74,Bronze
C00517,44,Female,Southwest,1146,342.24,Silver
C00518,26,Female,West,1682,284.55,Bronze
C00519,39,Male,Midwest,501,368.3,Silver
C00520,47,Male,Northeast,1569,97.81,Bronze
C00521,18,Female,Midwest,1138,338.33,Silver
C00522,44,Male,Southeast,708,199.27,Bronze
C00523,30,Female,West,1572,315.51,Silver
C00524,44,Female,West,410,127.49,Bronze
C00525,28,Male,Southwest,1460,144.52,Bronze
C00526,18,Female,Northeast,1285,703.77,Silver
C00527,18,Female,West,280,94.97,Bronze
C00528,38,Male,Southwest,1138,101.5,Bronze
C00529,41,Female,West,348,233.59,Bronze
C00530,27,Male,Northeast,222,122.16,Bronze
C00531,45,Male,Northeast,1688,110.33,Bronze
C00532,18,Male,Northeast,966,268.96,Bronze
C00533,37,Female,West,630,63.15,Bronze
C00534,23,Female,West,636,98.77,Bronze
C00535,30,Female,Southwest,1353,1554.15,Gold
C00536,38,Male,Southeast,1411,370.01,Silver
C00537,27,Female,Southeast,1610,124.97,Bronze
C00538,33,Male,West,794,356.52,Silver
C00539,50,Female,West,1506,407.73,Silver
C00540,31,Male,Southwest,914,598.83,Silver
C00541,48,Male,West,1020,218.23,Bronze
C00542,24,Male,Midwest,1616,589.25,Silver
C00543,44,Female,West,535,39.07,Bronze
C00544,55,Male,Southwest,94,94.57,Bronze
C00545,18,Female,Midwest,1619,283.58,Bronze
C00546,28,Male,Northeast,251,329.2,Silver
C00547,44,Male,Northeast,495,107.7,Bronze
C00548,35,Male,Northeast,101,309.04,Silver
C00549,42,Female,West,917,139.57,Bronze
C00550,30,Female,Northeast,503,190.71,Bronze
C00551,39,Male,Southeast,1733,615.41,Silver
C00552,36,Male,Southeast,1751,554.49,Silver
C00553,52,Male,Midwest,684,99.75,Bronze
C00554,41,Female,Southeast,48,94.49,Bronze
C00555,42,Male,West,551,169.01,Bronze
C00556,33,Female,Northeast,813,238.87,Bronze
C00557,32,Female,Northeast,1736,135.35,Bronze
C00558,32,Male,Midwest,444,624.27,Silver
C00559,42,Female,Southeast,393,334.5,Silver
C00560,32,Female,Southeast,557,352.65,Silver
C00561,41,Female,Northeast,1133,78.27,Bronze
C00562,62,Male,Southwest,825,699.64,Silver
C00563,48,Male,West,1243,19.33,Bronze
C00564,34,Male,Northeast,1201,518.35,Silver
C00565,52,Male,Northeast,1728,567.3,Silver
C00566,33,Male,Southwest,472,165.81,Bronze
C00567,18,Male,West,294,769.41,Silver
C00568,25,Female,Southeast,679,231.18,Bronze
C00569,18,Male,West,538,258.83,Bronze
C00570,33,Male,West,1354,332.15,Silver
C00571,38,Male,West,495,4306.66,Gold
C00572,58,Female,Midwest,394,820.56,Gold
