date,ad_spend,email_sends,visitors,revenue
2024-03-29,3013.55,45777,4484,11951.86
2024-03-30,1599.02,38316,3084,9909.98
2024-03-31,4478.24,39606,6734,19398.0
2024-04-01,4348.23,30027,5781,12977.54
2024-04-02,3874.7,24014,5264,12320.14
2024-04-03,4006.94,45880,5964,14175.06
2024-04-04,4889.55,2267,7104,13632.11
2024-04-05,1930.77,25018,3602,7577.26
2024-04-06,4286.48,20387,4629,17345.71
2024-04-07,2197.69,15573,3812,9844.93
2024-04-08,4382.8,7228,6682,13069.79
2024-04-09,2228.79,25521,3914,8578.26
2024-04-10,1847.12,4614,3832,6108.31
2024-04-11,2751.26,27638,5231,9638.53
2024-04-12,559.08,1033,1250,1262.42
2024-04-13,4543.03,46164,6575,20961.02
2024-04-14,3486.63,33944,5691,16629.78
2024-04-15,4549.73,30508,5702,14654.24
2024-04-16,2242.07,30299,3598,9059.72
2024-04-17,998.69,45329,2699,6685.92
2024-04-18,1356.47,3026,3198,3793.46
2024-04-19,3361.14,48870,5069,13229.08
2024-04-20,3083.62,17702,5140,13483.16
2024-04-21,4959.89,19406,5833,17631.12
2024-04-22,3723.87,2848,5397,9947.7
2024-04-23,1319.09,22038,2594,7214.05
2024-04-24,989.29,38598,2234,5046.05
2024-04-25,4339.65,10699,5541,13614.67
2024-04-26,1217.4,44387,2746,7922.0
2024-04-27,593.98,49741,1296,7569.73
2024-04-28,4043.29,9973,5756,15252.34
2024-04-29,1964.52,27992,3644,6896.28
2024-04-30,1243.23,6975,2136,5243.12
2024-05-01,4670.82,39309,6520,15906.68
2024-05-02,1416.35,24423,3193,5987.93
2024-05-03,3840.63,16054,5423,11241.3
2024-05-04,3021.78,34642,4916,13587.86
2024-05-05,2044.39,7151,4427,11533.33
2024-05-06,3077.08,11440,3791,10247.58
2024-05-07,4667.08,46406,6320,16520.47
2024-05-08,4470.62,39262,6412,15051.25
2024-05-09,4441.3,30039,5744,14322.88
2024-05-10,2364.88,43216,4243,9632.37
2024-05-11,4600.92,27625,6106,18308.23
2024-05-12,3901.89,15265,4975,16002.91
2024-05-13,1859.19,18203,2854,8054.33
2024-05-14,2226.91,15098,3639,8356.85
2024-05-15,1281.81,21694,2304,7049.6
2024-05-16,2892.86,32054,4006,10467.75
2024-05-17,624.7,36801,1711,5865.95
2024-05-18,2753.23,48588,4088,14324.92
2024-05-19,3344.8,19214,4847,15840.36
2024-05-20,2231.22,27666,4040,8897.13
2024-05-21,4707.88,34535,6164,13650.24
2024-05-22,1586.54,39737,2242,6381.08
2024-05-23,2650.22,18604,4462,10947.65
2024-05-24,4649.87,47350,6641,16757.58
2024-05-25,4074.05,19836,5131,16588.27
2024-05-26,778.61,31339,2155,4454.66
2024-05-27,3973.52,1961,5251,11333.4
2024-05-28,3837.67,22749,5271,12207.53
2024-05-29,659.86,34303,1496,5683.6
2024-05-30,4444.41,21034,6124,13444.55
2024-05-31,2998.68,33531,5003,11616.04
2024-06-01,4342.52,6270,5803,15936.38
2024-06-02,4641.47,27369,6039,20075.17
2024-06-03,501.87,43432,855,4108.87
2024-06-04,1642.37,44947,3207,9029.81
2024-06-05,2983.7,48167,4302,11873.3
2024-06-06,4454.75,36339,6570,13882.82
2024-06-07,3722.84,26604,4750,10536.11
2024-06-08,1883.74,28640,3260,10302.02
2024-06-09,2012.82,23051,3455,10847.47
2024-06-10,3476.39,42077,4919,11648.93
2024-06-11,4048.38,2730,5612,12045.43
2024-06-12,4633.43,41205,7100,14700.55
2024-06-13,3734.03,37799,5384,12121.72
2024-06-14,4299.19,49225,6311,14002.26
2024-06-15,3485.86,34708,5362,15774.3
2024-06-16,3392.99,38656,4528,17679.16
2024-06-17,2089.53,26441,3546,9076.02
2024-06-18,510.78,1818,924,3001.37
2024-06-19,3060.29,7682,4613,10704.99
2024-06-20,3160.93,24850,5100,11911.84
2024-06-21,2199.36,9810,4060,7295.25
2024-06-22,2917.06,20637,4447,14155.36
2024-06-23,936.69,46662,2105,7169.88
2024-06-24,1924.18,7123,4249,6496.92
2024-06-25,2354.99,40715,4621,9772.51
2024-06-26,2831.34,28330,4607,9986.23
2024-06-27,3608.59,35043,5798,12077.17
2024-06-28,4346.21,19169,6179,12844.96
2024-06-29,4234.31,23883,5659,15770.13
2024-06-30,1461.49,46756,2776,9671.53
2024-07-01,2555.2,41065,4260,10250.28
2024-07-02,4821.21,10696,6921,13478.21
2024-07-03,2755.24,20189,4158,10063.61
2024-07-04,3541.48,20121,6369,11078.14
2024-07-05,1475.58,42233,2551,7012.27
2024-07-06,2587.62,22597,3750,11248.56
2024-07-07,1707.51,9026,4130,9856.11
2024-07-08,3738.23,19899,5879,12829.0
2024-07-09,668.74,21133,1786,4516.75
2024-07-10,3703.68,14334,4935,12496.0
2024-07-11,883.04,13012,3052,5225.7
2024-07-12,738.8,43130,2775,5922.49
2024-07-13,901.57,25721,3631,5845.92
2024-07-14,4780.95,18353,7106,17573.46
2024-07-15,4013.47,34227,5944,13607.68
2024-07-16,910.01,1804,1664,3200.24
2024-07-17,3472.44,37414,5170,10709.6
2024-07-18,3314.64,31214,4394,11437.81
2024-07-19,4817.35,17704,6854,13607.92
2024-07-20,2952.94,14809,4619,12346.92
2024-07-21,4024.68,32729,5670,16453.18
2024-07-22,3410.87,43784,5099,11433.03
2024-07-23,2374.77,39370,3421,9929.13
2024-07-24,1063.28,49948,2317,7275.97
2024-07-25,4025.34,22816,5374,13962.76
2024-07-26,4692.54,38462,6554,16737.99
2024-07-27,1693.53,18564,3358,8557.85
2024-07-28,1467.13,24326,2186,7605.7
2024-07-29,1041.77,9386,2727,3844.46
2024-07-30,4718.56,36161,7090,16182.36
2024-07-31,4384.21,39711,5305,14035.08
2024-08-01,580.18,7114,1946,3275.07
2024-08-02,1169.55,37458,2378,6617.33
2024-08-03,2928.23,16604,4289,13737.37
2024-08-04,561.94,40320,982,5291.44
2024-08-05,3208.71,30345,3911,11859.75
2024-08-06,2468.96,34287,4219,9747.53
2024-08-07,2522.9,43830,5373,10965.83
2024-08-08,2423.17,23815,3123,9038.74
2024-08-09,604.6,22079,2460,5144.69
2024-08-10,3654.59,3026,5517,13890.32
2024-08-11,907.0,23453,2140,7271.72
2024-08-12,1403.49,19055,2479,5868.19
2024-08-13,1114.69,26958,2969,5840.08
2024-08-14,2789.51,3721,4662,8362.38
2024-08-15,2945.31,7137,5134,9374.65
2024-08-16,1917.52,40582,3140,9728.56
2024-08-17,1262.55,36966,2612,8213.78
2024-08-18,4206.32,37125,6930,17791.33
2024-08-19,4922.19,25148,7489,14283.72
2024-08-20,3186.53,1900,4322,9015.73
2024-08-21,3520.53,42996,5622,11877.78
2024-08-22,2534.58,6040,3947,8663.71
2024-08-23,1304.14,34026,3178,7077.88
2024-08-24,3709.12,38681,5720,15201.99
2024-08-25,4185.51,39955,6365,19599.98
2024-08-26,4637.17,12371,6200,13046.78
2024-08-27,1422.85,23924,2820,6535.59
2024-08-28,4078.45,49559,5665,14083.39
2024-08-29,2158.25,18717,4217,7500.55
2024-08-30,3920.45,27803,5194,12422.01
2024-08-31,1422.74,23304,2242,8104.3
2024-09-01,1867.39,43178,3659,10486.74
2024-09-02,1268.24,33956,2631,4622.99
2024-09-03,3491.7,14766,5267,11123.14
2024-09-04,4711.03,7860,7013,14510.12
2024-09-05,4617.55,30189,6099,14839.38
2024-09-06,4068.3,48711,5879,14445.13
2024-09-07,3928.35,33512,6609,16614.68
2024-09-08,4412.54,24525,6762,17772.12
2024-09-09,3546.15,18606,4934,11260.62
2024-09-10,3319.26,14890,4043,10442.85
2024-09-11,2229.41,14328,3423,8893.61
2024-09-12,4157.93,15376,6780,11897.91
2024-09-13,4295.46,17810,5808,13233.21
2024-09-14,1132.18,31749,3032,8042.71
2024-09-15,1937.91,32590,3891,11989.03
2024-09-16,1578.35,47713,3056,8161.03
2024-09-17,3323.87,6696,5853,9538.83
2024-09-18,3600.32,42382,4852,12003.5
2024-09-19,2783.37,19497,3615,10940.52
2024-09-20,1719.38,17041,4013,6519.3
2024-09-21,831.01,42355,1204,8007.08
2024-09-22,2250.22,28438,4449,12481.39
2024-09-23,1267.12,6935,1943,6259.69
2024-09-24,4667.55,14615,7022,13867.54
2024-09-25,750.92,41458,1112,4799.21
2024-09-26,4195.68,38872,5587,13558.33
2024-09-27,2441.41,43760,4471,9144.27
2024-09-28,2976.71,11573,4633,13306.05
2024-09-29,1057.03,34691,1798,7162.91
2024-09-30,3852.08,49644,5800,15304.39
2024-10-01,2912.85,5509,4524,8359.28
2024-10-02,1888.06,15799,3409,6194.63
2024-10-03,4137.44,30550,6267,13102.77
2024-10-04,1700.38,35765,2499,6033.55
2024-10-05,3120.52,2560,4915,13594.11
2024-10-06,2718.11,31690,4940,11309.44
2024-10-07,2705.34,42156,5159,10468.36
2024-10-08,3516.82,22481,5741,10874.92
2024-10-09,1773.42,46466,3423,9113.0
2024-10-10,4456.87,35521,5500,12892.08
2024-10-11,2229.21,46074,4127,9627.37
2024-10-12,3677.49,33763,5115,15700.31
2024-10-13,3077.34,39115,5191,14987.38
2024-10-14,3171.76,49014,4220,11255.45
2024-10-15,2669.92,7439,4163,7843.53
2024-10-16,1858.8,32364,3392,7431.56
2024-10-17,3199.66,36348,4941,12600.21
2024-10-18,1911.0,1804,3412,6673.76
2024-10-19,2680.78,46295,5023,12467.49
2024-10-20,4315.94,17393,6278,17495.1
2024-10-21,3493.94,12861,5536,11072.75
2024-10-22,4933.89,27686,6875,16985.39
2024-10-23,716.8,33244,2666,4957.78
2024-10-24,4208.97,6553,6023,12597.79
2024-10-25,3302.03,11070,5208,10275.45
2024-10-26,1336.65,46457,1790,9486.4
2024-10-27,1823.95,9063,2182,8238.49
2024-10-28,1661.85,18257,3744,6646.03
2024-10-29,1265.38,14128,2416,4701.43
2024-10-30,4330.54,40524,6367,14599.21
2024-10-31,1250.91,31236,2197,6659.23
2024-11-01,2287.98,46401,4541,10138.43
2024-11-02,4446.94,41945,6237,18816.8
2024-11-03,2696.41,45407,3856,13590.3
2024-11-04,555.98,38621,1104,4682.46
2024-11-05,4758.14,33984,6973,15501.31
2024-11-06,741.34,4586,1821,3107.44
2024-11-07,2257.37,37734,3522,8763.89
2024-11-08,3867.24,21509,5994,11266.01
2024-11-09,4638.66,45810,7175,20758.35
2024-11-10,4555.64,20221,6479,18116.54
2024-11-11,703.56,30879,1251,5872.23
2024-11-12,3951.65,25065,5857,13463.71
2024-11-13,4481.09,4224,5907,13780.54
2024-11-14,1644.5,19046,2991,6305.53
2024-11-15,594.04,29863,1586,4019.43
2024-11-16,4282.97,42211,5580,18037.56
2024-11-17,726.96,2455,2084,4856.27
2024-11-18,1790.14,7781,3060,7027.46
2024-11-19,3204.9,48799,5522,10798.1
2024-11-20,2854.32,29133,4510,9810.21
2024-11-21,2600.09,29898,4649,9598.42
2024-11-22,2654.06,49088,4098,10462.83
2024-11-23,3091.87,43411,4198,13126.67
2024-11-24,875.84,15884,898,7013.88
2024-11-25,3396.36,19261,4994,10760.9
2024-11-26,3729.83,34831,5371,12922.11
2024-11-27,1378.27,5315,2178,5884.27
2024-11-28,1971.21,4019,3681,6801.6
2024-11-29,2906.4,24958,3886,11238.76
2024-11-30,568.74,24118,1745,4503.89
2024-12-01,2766.98,6346,4804,12268.94
2024-12-02,1496.36,45529,2393,9549.43
2024-12-03,4810.96,10838,6418,13745.54
2024-12-04,931.08,2767,2341,3187.52
2024-12-05,2069.27,8216,3377,7969.08
2024-12-06,2735.29,44243,4343,10031.42
2024-12-07,889.59,21422,2341,6917.24
2024-12-08,3831.65,21844,4418,15641.46
2024-12-09,798.04,48449,1501,5291.58
2024-12-10,3339.6,42801,5167,13572.71
2024-12-11,2923.35,9037,4439,9219.77
2024-12-12,1299.82,43274,2318,6345.35
2024-12-13,1675.84,44681,4271,8717.98
2024-12-14,3053.02,29367,4653,14863.26
2024-12-15,4116.87,47812,5544,19196.5
2024-12-16,571.61,9976,2389,3425.34
2024-12-17,3097.32,7626,4117,8466.57
2024-12-18,2667.27,15867,3770,9308.59
2024-12-19,4738.43,32937,6266,14838.31
2024-12-20,2461.81,19467,4394,9125.81
2024-12-21,4596.0,12241,6886,17835.44
2024-12-22,3878.74,17622,6121,14378.58
2024-12-23,2705.42,47253,3232,11662.28
2024-12-24,687.39,16404,2175,4175.55
2024-12-25,4580.64,11542,7350,13225.58
2024-12-26,4722.51,48474,6151,16257.35
2024-12-27,3364.35,48553,5483,12407.73
2024-12-28,4655.52,30167,6441,18175.64
2024-12-29,2404.45,6830,4700,11087.84
2024-12-30,3488.51,15100,5170,11536.1
