order_id,customer_id,order_date,category,num_items,order_value,shipping_cost,days_to_deliver
O000062,C01394,2024-09-04,Clothing,3,125.8,0.0,8
O000063,C03660,2024-12-13,Clothing,6,182.54,0.0,5
O000064,C01650,2024-12-17,Beauty,2,93.36,0.0,7
O000065,C02282,2024-08-13,Clothing,4,174.87,0.0,5
O000066,C03683,2024-12-01,Home,5,157.98,0.0,4
O000067,C02684,2024-02-17,Clothing,1,59.26,7.31,5
O000068,C04563,2024-09-02,Home,1,51.11,6.74,5
O000069,C04653,2024-01-31,Clothing,6,301.59,0.0,3
O000070,C04990,2024-07-01,Home,4,106.84,0.0,4
O000071,C04932,2024-09-13,Sports,4,148.8,0.0,3
O000072,C01311,2024-05-05,Home,4,199.55,0.0,1
O000073,C04714,2024-08-06,Clothing,1,30.98,9.24,5
O000074,C04230,2024-09-01,Beauty,2,88.83,0.0,3
O000075,C04104,2024-05-18,Sports,5,38.7,12.72,4
O000076,C02076,2024-08-14,Clothing,5,138.48,0.0,7
O000077,C00783,2024-10-28,Home,3,144.53,0.0,2
O000078,C03807,2024-09-13,Beauty,6,124.33,0.0,3
O000079,C01334,2024-09-11,Home,3,117.04,0.0,3
O000080,C03718,2024-03-10,Electronics,4,161.76,0.0,6
O000081,C04637,2024-03-06,Sports,1,59.09,10.31,2
O000082,C01058,2024-01-02,Electronics,1,5.0,7.86,4
O000083,C02055,2024-11-20,Beauty,2,86.15,0.0,3
O000084,C03402,2024-09-25,Electronics,2,59.14,11.13,5
O000085,C02110,2024-12-04,Clothing,7,336.29,0.0,5
O000086,C03158,2024-10-29,Clothing,3,155.84,0.0,2
O000087,C03797,2024-05-08,Clothing,3,64.53,11.61,3
O000088,C03649,2024-05-25,Electronics,2,114.23,0.0,4
O000089,C01321,2024-04-22,Clothing,6,210.58,0.0,1
O000090,C04418,2024-10-14,Beauty,2,101.22,0.0,5
O000091,C03700,2024-04-05,Sports,5,199.62,0.0,3
O000092,C00733,2024-09-23,Beauty,2,95.03,0.0,6
O000093,C03634,2024-01-08,Beauty,4,118.03,0.0,5
O000094,C03550,2024-08-07,Clothing,5,116.63,0.0,3
O000095,C03663,2024-07-31,Home,2,53.32,11.33,4
O000096,C04645,2024-04-11,Clothing,3,43.53,7.55,4
O000097,C00605,2024-06-14,Electronics,1,61.59,6.92,3
O000098,C01723,2024-09-18,Clothing,3,86.4,0.0,4
O000099,C02405,2024-01-02,Clothing,3,112.69,0.0,3
O000100,C03483,2024-07-20,Electronics,2,30.3,5.23,4
O000101,C02813,2024-11-24,Sports,3,126.46,0.0,3
O000102,C01582,2024-07-01,Clothing,1,5.0,7.97,6
O000103,C02279,2024-09-15,Home,2,77.63,0.0,1
O000104,C02351,2024-11-17,Electronics,6,209.16,0.0,4
O000105,C03624,2024-08-15,Beauty,1,18.47,7.47,5
O000106,C00715,2024-07-18,Electronics,3,148.94,0.0,3
O000107,C00925,2024-01-26,Clothing,4,149.61,0.0,3
O000108,C03163,2024-12-15,Clothing,3,145.93,0.0,5
O000109,C04154,2024-04-11,Electronics,1,12.79,6.86,3
O000110,C04530,2024-05-15,Electronics,3,95.5,0.0,2
O000111,C04079,2024-11-26,Clothing,1,24.26,6.41,4
O000112,C02570,2024-12-10,Sports,4,189.73,0.0,4
O000113,C02816,2024-07-15,Home,2,40.36,12.42,5
O000114,C04579,2024-01-30,Home,2,55.03,10.97,5
O000115,C04463,2024-10-25,Clothing,2,96.89,0.0,3
O000116,C00889,2024-05-12,Home,2,96.65,0.0,5
O000117,C03479,2024-09-12,Sports,5,118.64,0.0,1
O000118,C03590,2024-01-20,Clothing,3,88.52,0.0,3
O000119,C01724,2024-11-03,Clothing,3,123.46,0.0,4
O000120,C01259,2024-01-21,Sports,2,84.75,0.0,4
O000121,C00411,2024-02-10,Sports,2,71.1,10.15,5
O000122,C02231,2024-12-29,Clothing,1,18.34,11.13,2
O000123,C03195,2024-05-31,Home,3,94.49,0.0,2
O000124,C02206,2024-11-03,Beauty,4,249.19,0.0,3
O000125,C02061,2024-01-02,Clothing,4,147.53,0.0,4
O000126,C03899,2024-02-13,Beauty,3,139.88,0.0,3
O000127,C02614,2024-02-10,Clothing,3,117.18,0.0,5
O000128,C01813,2024-11-21,Clothing,1,60.01,8.66,6
O000129,C01803,2024-09-19,Home,4,157.23,0.0,4
O000130,C03907,2024-10-20,Clothing,3,124.76,0.0,4
O000131,C00678,2024-06-21,Beauty,3,141.41,0.0,4
O000132,C02911,2024-01-09,Electronics,4,166.61,0.0,4
O000133,C04714,2024-02-22,Clothing,3,97.92,0.0,4
O000134,C02252,2024-10-10,Beauty,3,78.79,0.0,5
O000135,C03005,2024-05-07,Home,4,97.64,0.0,1
O000136,C00795,2024-01-19,Electronics,1,29.5,11.83,5
O000137,C00729,2024-05-11,Clothing,1,63.01,11.69,7
O000138,C01694,2024-01-13,Electronics,5,153.75,0.0,2
O000139,C04735,2024-08-07,Clothing,1,56.26,11.75,1
O000140,C00191,2024-09-23,Home,6,161.74,0.0,3
O000141,C04995,2024-09-01,Clothing,2,51.73,6.5,4
O000142,C01997,2024-09-14,Clothing,4,152.35,0.0,4
O000143,C02108,2024-05-19,Clothing,1,9.48,9.76,4
O000144,C03867,2024-09-03,Clothing,8,341.28,0.0,4
O000145,C01490,2024-08-19,Electronics,1,33.68,9.87,3
O000146,C02110,2024-02-25,Home,7,220.31,0.0,3
O000147,C00638,2024-03-28,Clothing,1,33.98,6.01,5
O000148,C04046,2024-09-10,Beauty,1,45.7,8.36,2
O000149,C04159,2024-02-21,Beauty,1,11.39,10.98,2
O000150,C02820,2024-09-03,Electronics,5,229.05,0.0,6
O000151,C04112,2024-09-08,Home,2,79.29,0.0,5
O000152,C00842,2024-05-04,Electronics,3,132.51,0.0,4
O000153,C03952,2024-07-19,Electronics,4,150.43,0.0,5
O000154,C04059,2024-12-26,Sports,5,189.4,0.0,4
O000155,C03248,2024-05-11,Beauty,3,110.76,0.0,8
O000156,C01217,2024-06-25,Clothing,2,93.12,0.0,4
O000157,C00899,2024-02-21,Electronics,2,54.43,5.97,7
O000158,C02223,2024-02-03,Sports,2,72.88,11.34,4
O000159,C01258,2024-01-22,Home,4,150.79,0.0,3
O000160,C01515,2024-05-20,Sports,2,71.44,9.77,3
O000161,C00417,2024-11-14,Home,5,249.32,0.0,3
O000162,C04547,2024-09-27,Electronics,4,191.19,0.0,4
O000163,C02884,2024-06-16,Clothing,2,61.53,11.92,4
O000164,C03827,2024-02-07,Clothing,1,44.21,12.53,3
O000165,C04376,2024-12-26,Home,6,230.83,0.0,4
O000166,C04340,2024-09-02,Sports,8,292.23,0.0,5
O000167,C00675,2024-08-22,Sports,3,67.87,6.02,3
O000168,C00103,2024-02-24,Sports,2,64.89,9.13,2
O000169,C02358,2024-04-29,Clothing,2,86.03,0.0,6
O000170,C03994,2024-03-06,Electronics,2,72.27,11.34,6
O000171,C04028,2024-11-17,Clothing,1,28.21,11.34,4
O000172,C03709,2024-11-23,Clothing,1,17.54,8.04,5
O000173,C04213,2024-06-14,Electronics,4,166.45,0.0,5
O000174,C01496,2024-07-28,Sports,3,87.39,0.0,4
O000175,C04859,2024-03-15,Sports,2,114.27,0.0,4
O000176,C03393,2024-05-13,Clothing,7,189.27,0.0,4
O000177,C03507,2024-09-21,Electronics,7,148.24,0.0,3
O000178,C02786,2024-06-22,Clothing,1,16.0,6.32,4
O000179,C02235,2024-08-30,Sports,4,161.47,0.0,5
O000180,C03660,2024-03-29,Beauty,2,14.65,8.42,6
O000181,C04881,2024-09-06,Beauty,2,108.51,0.0,5
O000182,C03733,2024-01-31,Home,5,149.65,0.0,4
O000183,C04803,2024-10-03,Beauty,1,66.53,11.0,2
O000184,C04892,2024-02-07,Clothing,2,44.13,10.74,7
O000185,C04569,2024-11-03,Home,3,31.62,11.68,5
O000186,C03526,2024-05-17,Clothing,2,55.86,6.58,4
O000187,C03518,2024-03-16,Electronics,3,154.8,0.0,1
O000188,C04778,2024-12-04,Beauty,3,167.6,0.0,1
O000189,C04190,2024-09-09,Home,3,93.25,0.0,4
O000190,C04832,2024-03-19,Electronics,4,78.71,0.0,3
O000191,C02530,2024-02-07,Electronics,1,56.14,6.15,1
O000192,C01914,2024-11-13,Clothing,1,12.7,5.32,3
O000193,C02458,2024-11-23,Beauty,5,148.95,0.0,4
O000194,C01151,2024-06-11,Beauty,5,199.46,0.0,3
O000195,C03859,2024-12-23,Beauty,3,97.18,0.0,4
O000196,C04138,2024-05-07,Electronics,5,118.95,0.0,4
O000197,C04137,2024-06-06,Home,3,50.51,8.76,8
O000198,C01511,2024-11-24,Clothing,3,105.02,0.0,5
O000199,C03971,2024-11-14,Electronics,3,115.21,0.0,6
O000200,C03916,2024-03-23,Sports,6,199.29,0.0,2
O000201,C03253,2024-08-04,Beauty,3,91.41,0.0,5
O000202,C03750,2024-07-20,Clothing,6,253.48,0.0,6
O000203,C00744,2024-10-04,Beauty,1,27.98,7.21,3
O000204,C02766,2024-05-31,Home,6,100.17,0.0,4
O000205,C03939,2024-01-26,Sports,2,67.5,12.95,4
O000206,C02512,2024-12-08,Clothing,3,19.31,7.5,3
O000207,C01074,2024-09-10,Clothing,3,160.2,0.0,4
O000208,C03218,2024-09-07,Clothing,1,36.29,8.68,2
O000209,C04394,2024-06-15,Clothing,4,143.02,0.0,2
O000210,C02193,2024-12-18,Home,2,54.31,6.12,4
O000211,C00016,2024-05-19,Clothing,2,66.13,10.29,6
O000212,C03554,2024-08-16,Clothing,3,72.43,9.27,5
O000213,C00107,2024-03-13,Electronics,2,116.42,0.0,2
O000214,C04315,2024-10-25,Sports,4,139.63,0.0,2
O000215,C02969,2024-08-23,Clothing,3,104.87,0.0,7
O000216,C04467,2024-07-13,Electronics,3,100.5,0.0,4
O000217,C03046,2024-03-28,Clothing,6,266.12,0.0,2
O000218,C02858,2024-04-06,Electronics,7,348.15,0.0,3
O000219,C04350,2024-06-14,Electronics,4,80.41,0.0,3
O000220,C01429,2024-10-22,Home,3,112.89,0.0,5
O000221,C02009,2024-07-21,Clothing,3,112.82,0.0,6
O000222,C03102,2024-07-05,Beauty,5,190.8,0.0,5
O000223,C03637,2024-10-01,Clothing,3,129.52,0.0,6
O000224,C03472,2024-01-20,Clothing,1,62.36,8.65,5
O000225,C03032,2024-03-13,Clothing,2,67.75,8.68,3
O000226,C02922,2024-12-03,Beauty,1,34.09,6.94,2
O000227,C04446,2024-12-26,Electronics,1,70.22,5.67,6
O000228,C00879,2024-11-05,Electronics,3,131.21,0.0,4
O000229,C02513,2024-03-22,Clothing,4,130.77,0.0,3
O000230,C00311,2024-10-22,Home,2,86.72,0.0,2
O000231,C01115,2024-12-21,Electronics,2,57.77,8.98,5
O000232,C01322,2024-01-27,Home,5,217.27,0.0,3
O000233,C03397,2024-05-20,Clothing,2,81.55,0.0,4
O000234,C04376,2024-02-16,Home,5,103.28,0.0,5
O000235,C00967,2024-04-21,Electronics,6,119.16,0.0,3
O000236,C03190,2024-08-22,Beauty,1,37.38,10.17,4
O000237,C00695,2024-05-30,Clothing,4,105.69,0.0,2
O000238,C02615,2024-11-10,Clothing,1,5.0,11.19,3
O000239,C00271,2024-11-28,Sports,2,54.57,10.62,2
O000240,C01412,2024-05-05,Clothing,1,39.13,9.41,5
O000241,C03028,2024-01-07,Sports,5,200.52,0.0,3
O000242,C03125,2024-02-19,Clothing,2,120.23,0.0,4
O000243,C01754,2024-12-25,Home,3,91.52,0.0,3
O000244,C04937,2024-03-06,Beauty,5,195.12,0.0,3
O000245,C01822,2024-12-27,Clothing,4,163.37,0.0,2
O000246,C04336,2024-06-15,Home,4,157.38,0.0,3
O000247,C03286,2024-09-08,Sports,1,40.57,8.95,4
O000248,C00361,2024-09-19,Beauty,4,140.3,0.0,6
O000249,C03436,2024-07-14,Sports,3,106.9,0.0,4
O000250,C00734,2024-07-01,Clothing,2,74.8,5.52,3
O000251,C00852,2024-09-20,Beauty,5,134.86,0.0,5
O000252,C00860,2024-10-14,Sports,3,52.17,10.84,5
O000253,C04797,2024-10-01,Electronics,2,59.5,6.43,5
O000254,C01351,2024-04-27,Home,3,103.06,0.0,6
O000255,C04085,2024-11-08,Sports,3,125.04,0.0,4
O000256,C02884,2024-12-12,Beauty,4,108.44,0.0,4
O000257,C03548,2024-10-03,Electronics,2,52.74,8.31,1
O000258,C04919,2024-05-11,Beauty,5,85.46,0.0,6
O000259,C04193,2024-05-26,Electronics,7,258.56,0.0,4
O000260,C00327,2024-01-29,Clothing,5,117.93,0.0,6
O000261,C02121,2024-11-22,Clothing,3,92.46,0.0,4
O000262,C00994,2024-11-15,Clothing,4,190.52,0.0,3
O000263,C01767,2024-08-12,Electronics,6,213.3,0.0,8
O000264,C04429,2024-05-18,Clothing,2,56.53,11.41,3
O000265,C01181,2024-10-15,Beauty,3,76.52,0.0,4
O000266,C01965,2024-10-07,Clothing,2,64.46,11.78,2
O000267,C02782,2024-01-26,Home,3,61.64,6.43,3
O000268,C02906,2024-10-18,Clothing,1,57.75,5.92,1
O000269,C00099,2024-09-23,Electronics,3,46.71,12.81,2
O000270,C02780,2024-10-12,Sports,4,129.38,0.0,4
O000271,C00244,2024-11-08,Home,1,5.0,11.94,5
O000272,C04038,2024-04-06,Sports,1,25.69,6.96,2
O000273,C01501,2024-05-17,Sports,4,161.44,0.0,4
O000274,C02710,2024-10-07,Beauty,3,141.31,0.0,4
O000275,C03054,2024-04-05,Electronics,2,60.11,9.29,1
O000276,C04463,2024-02-26,Home,5,161.98,0.0,5
O000277,C03227,2024-05-02,Sports,2,53.21,8.06,6
O000278,C01048,2024-08-18,Beauty,3,139.61,0.0,4
O000279,C04379,2024-10-16,Sports,4,106.52,0.0,3
O000280,C01316,2024-03-26,Electronics,1,42.82,11.76,1
O000281,C01387,2024-11-05,Beauty,2,71.29,10.2,4
O000282,C03921,2024-02-20,Home,1,13.53,12.82,6
O000283,C01738,2024-08-15,Sports,5,175.87,0.0,2
O000284,C00422,2024-01-06,Home,2,37.82,11.67,4
O000285,C03802,2024-11-05,Clothing,5,231.37,0.0,4
O000286,C01412,2024-09-29,Beauty,3,77.16,0.0,6
O000287,C03250,2024-12-09,Clothing,2,93.52,0.0,5
O000288,C04571,2024-01-02,Sports,2,69.26,11.36,3
O000289,C02453,2024-10-02,Clothing,2,68.01,8.18,4
O000290,C02084,2024-03-31,Clothing,5,240.37,0.0,7
O000291,C04454,2024-09-18,Beauty,2,52.99,10.25,4
O000292,C04654,2024-08-29,Sports,4,127.62,0.0,3
O000293,C03679,2024-09-02,Electronics,2,24.68,9.24,5
O000294,C01351,2024-03-19,Clothing,3,97.44,0.0,2
O000295,C02368,2024-11-06,Electronics,4,120.85,0.0,3
O000296,C04834,2024-10-30,Clothing,1,37.2,6.97,4
O000297,C03341,2024-02-27,Electronics,3,182.57,0.0,3
O000298,C02573,2024-08-12,Beauty,2,78.64,0.0,4
O000299,C04121,2024-07-20,Electronics,4,102.76,0.0,4
O000300,C03845,2024-01-06,Home,4,219.28,0.0,4
O000301,C00640,2024-01-30,Beauty,3,81.91,0.0,5
O000302,C01575,2024-05-30,Clothing,4,209.95,0.0,4
O000303,C03229,2024-02-05,Home,1,39.07,8.19,5
O000304,C04270,2024-04-19,Clothing,2,73.05,12.34,2
O000305,C00186,2024-04-30,Clothing,5,243.87,0.0,5
O000306,C01319,2024-08-28,Clothing,2,96.02,0.0,4
O000307,C00528,2024-09-15,Beauty,2,60.38,8.17,5
O000308,C03260,2024-03-30,Sports,2,21.42,12.42,5
O000309,C03484,2024-01-30,Clothing,3,133.3,0.0,2
O000310,C03020,2024-08-24,Clothing,2,24.44,6.56,5
O000311,C04780,2024-06-18,Clothing,1,5.0,9.07,4
O000312,C02234,2024-05-28,Clothing,5,202.13,0.0,3
O000313,C01568,2024-03-28,Electronics,3,96.74,0.0,2
O000314,C00575,2024-01-04,Clothing,4,88.42,0.0,2
O000315,C02035,2024-09-08,Home,1,21.89,9.03,4
O000316,C01325,2024-02-20,Home,2,86.76,0.0,4
O000317,C04405,2024-01-24,Electronics,2,47.45,5.61,5
O000318,C01213,2024-02-15,Beauty,2,87.61,0.0,4
O000319,C01435,2024-04-25,Home,3,154.26,0.0,3
O000320,C00538,2024-01-27,Clothing,4,128.88,0.0,5
O000321,C04954,2024-04-04,Beauty,3,104.74,0.0,5
O000322,C01575,2024-04-08,Home,4,110.8,0.0,6
O000323,C00193,2024-04-25,Clothing,1,11.18,11.54,4
O000324,C01187,2024-10-02,Sports,2,72.06,9.08,2
O000325,C04149,2024-12-01,Clothing,2,55.02,11.34,3
O000326,C00475,2024-04-04,Clothing,2,9.93,6.21,4
O000327,C04270,2024-07-17,Sports,2,102.51,0.0,3
O000328,C01814,2024-05-25,Beauty,3,98.26,0.0,4
O000329,C04796,2024-06-03,Clothing,6,277.13,0.0,8
O000330,C02438,2024-09-26,Clothing,6,261.55,0.0,1
O000331,C03380,2024-11-16,Clothing,1,55.31,11.77,3
O000332,C04553,2024-10-02,Clothing,2,61.57,5.26,6
O000333,C01355,2024-11-21,Clothing,4,152.03,0.0,4
O000334,C03401,2024-09-12,Home,6,178.09,0.0,6
O000335,C03755,2024-02-14,Home,4,137.13,0.0,5
O000336,C03530,2024-01-01,Clothing,4,185.51,0.0,6
O000337,C00159,2024-05-26,Clothing,5,183.86,0.0,1
O000338,C01838,2024-10-21,Home,2,74.07,11.39,4
O000339,C04612,2024-06-03,Clothing,5,87.36,0.0,5
O000340,C01026,2024-02-25,Home,3,99.56,0.0,5
O000341,C00659,2024-08-13,Electronics,3,59.2,10.14,4
O000342,C00678,2024-01-07,Beauty,2,51.01,9.03,6
O000343,C04411,2024-01-20,Clothing,1,7.4,8.0,3
O000344,C04047,2024-06-07,Beauty,4,201.4,0.0,3
O000345,C03822,2024-12-05,Clothing,4,156.76,0.0,2
O000346,C02376,2024-03-19,Home,5,102.42,0.0,3
O000347,C00276,2024-01-01,Electronics,2,133.57,0.0,3
O000348,C04548,2024-12-01,Home,4,108.94,0.0,4
O000349,C01589,2024-08-16,Clothing,3,138.58,0.0,5
O000350,C04582,2024-07-31,Clothing,2,122.37,0.0,1
O000351,C04663,2024-10-09,Sports,3,113.33,0.0,4
O000352,C00246,2024-09-04,Clothing,3,54.27,6.08,4
O000353,C00889,2024-04-28,Beauty,1,34.87,9.21,4
O000354,C02212,2024-08-14,Beauty,5,161.99,0.0,5
O000355,C04026,2024-01-24,Beauty,3,35.28,7.95,5
O000356,C00001,2024-07-08,Home,2,68.64,8.57,4
O000357,C02911,2024-11-03,Clothing,5,133.15,0.0,1
O000358,C02185,2024-11-02,Clothing,1,50.72,12.98,4
O000359,C04247,2024-02-26,Sports,1,38.79,12.37,5
O000360,C03252,2024-11-06,Clothing,1,37.71,8.27,6
O000361,C03052,2024-11-04,Home,1,39.14,12.86,6
O000362,C01511,2024-03-29,Beauty,3,135.4,0.0,4
O000363,C03772,2024-10-01,Electronics,3,83.75,0.0,3
O000364,C01129,2024-04-18,Clothing,7,195.16,0.0,3
O000365,C00698,2024-05-20,Electronics,3,159.27,0.0,4
O000366,C01089,2024-10-11,Home,3,98.91,0.0,4
O000367,C02420,2024-08-31,Home,5,302.16,0.0,4
O000368,C02629,2024-03-14,Electronics,2,72.8,9.06,5
O000369,C03790,2024-12-20,Home,1,46.25,6.5,3
O000370,C00686,2024-09-18,Electronics,2,26.11,7.26,4
O000371,C02757,2024-06-24,Sports,3,16.46,9.65,4
O000372,C01843,2024-08-17,Sports,2,45.13,6.78,4
O000373,C01733,2024-03-16,Sports,5,68.61,7.22,6
O000374,C04836,2024-11-18,Home,5,267.23,0.0,5
O000375,C04367,2024-07-01,Sports,1,65.96,8.24,6
O000376,C01973,2024-09-30,Home,2,71.03,11.3,2
O000377,C00711,2024-10-03,Sports,4,129.49,0.0,4
O000378,C00325,2024-08-14,Clothing,2,43.56,9.88,4
O000379,C04894,2024-06-13,Sports,3,50.96,12.78,4
O000380,C02968,2024-10-01,Sports,1,33.64,5.12,3
O000381,C03800,2024-08-04,Sports,5,119.85,0.0,4
O000382,C02595,2024-11-07,Home,4,163.22,0.0,5
O000383,C01093,2024-07-08,Beauty,1,32.61,9.03,2
O000384,C02956,2024-01-18,Electronics,5,161.88,0.0,1
O000385,C00212,2024-08-19,Beauty,3,108.36,0.0,4
O000386,C01582,2024-07-02,Home,3,129.16,0.0,5
O000387,C03832,2024-04-15,Clothing,4,67.48,10.19,6
O000388,C01444,2024-08-30,Sports,3,107.0,0.0,6
O000389,C04144,2024-02-22,Electronics,4,106.55,0.0,3
O000390,C04327,2024-08-13,Sports,3,151.93,0.0,3
O000391,C00579,2024-07-20,Clothing,4,142.8,0.0,4
O000392,C02998,2024-03-26,Beauty,2,113.03,0.0,2
O000393,C01755,2024-02-19,Sports,4,155.76,0.0,3
O000394,C02980,2024-09-16,Clothing,4,125.28,0.0,2
O000395,C03606,2024-11-14,Beauty,3,102.69,0.0,9
O000396,C00422,2024-07-13,Sports,4,131.0,0.0,4
O000397,C00611,2024-09-04,Sports,2,94.72,0.0,7
O000398,C00446,2024-02-25,Clothing,4,126.68,0.0,1
O000399,C00961,2024-06-25,Beauty,1,84.38,0.0,5
O000400,C00131,2024-05-29,Sports,4,101.75,0.0,2
O000401,C02648,2024-01-13,Electronics,4,179.67,0.0,5
O000402,C04080,2024-12-26,Clothing,4,122.44,0.0,4
O000403,C02435,2024-10-15,Clothing,3,116.04,0.0,4
O000404,C03730,2024-03-04,Home,3,137.64,0.0,4
O000405,C04432,2024-12-04,Sports,5,179.83,0.0,5
O000406,C01025,2024-04-14,Electronics,1,71.76,9.05,2
O000407,C01653,2024-08-26,Beauty,2,11.26,5.26,3
O000408,C00538,2024-02-03,Home,6,307.27,0.0,3
O000409,C04592,2024-11-19,Clothing,10,344.57,0.0,2
O000410,C03084,2024-02-08,Beauty,3,102.13,0.0,4
O000411,C00508,2024-08-12,Beauty,4,181.37,0.0,5
O000412,C03925,2024-05-08,Beauty,4,152.08,0.0,1
O000413,C00681,2024-05-12,Electronics,2,86.38,0.0,4
O000414,C02613,2024-02-09,Sports,3,74.62,12.84,3
O000415,C04877,2024-11-14,Beauty,3,86.87,0.0,2
O000416,C00760,2024-08-08,Clothing,1,29.82,10.28,2
O000417,C04224,2024-04-03,Home,3,22.99,10.86,4
O000418,C03148,2024-04-08,Sports,5,132.48,0.0,5
O000419,C02194,2024-02-29,Clothing,2,89.14,0.0,5
O000420,C02547,2024-05-08,Clothing,1,42.5,7.37,4
O000421,C04656,2024-05-11,Electronics,4,176.42,0.0,5
O000422,C01223,2024-10-27,Clothing,3,93.14,0.0,6
O000423,C03575,2024-03-09,Clothing,3,107.93,0.0,5
O000424,C03024,2024-01-14,Beauty,1,44.08,11.06,3
O000425,C03281,2024-05-30,Electronics,2,84.45,0.0,5
O000426,C01072,2024-06-22,Home,1,59.11,10.98,4
O000427,C00541,2024-12-10,Clothing,1,13.91,12.6,2
O000428,C00511,2024-10-18,Home,2,86.31,0.0,2
O000429,C04451,2024-07-14,Electronics,3,114.07,0.0,2
O000430,C00345,2024-02-01,Clothing,7,258.41,0.0,4
O000431,C04243,2024-03-13,Beauty,1,37.6,10.39,4
O000432,C03370,2024-07-12,Clothing,3,93.85,0.0,7
O000433,C03823,2024-02-19,Home,5,208.57,0.0,4
O000434,C02380,2024-02-26,Clothing,1,5.0,10.03,2
O000435,C02481,2024-04-26,Clothing,3,73.15,12.27,4
O000436,C00399,2024-07-10,Clothing,3,139.91,0.0,3
O000437,C03407,2024-08-04,Clothing,1,58.52,10.64,4
O000438,C03281,2024-04-20,Electronics,1,33.49,8.29,3
O000439,C04683,2024-03-29,Clothing,3,102.64,0.0,3
O000440,C03767,2024-12-25,Sports,1,15.08,9.62,4
O000441,C01295,2024-11-05,Sports,2,102.79,0.0,4
